"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6";"dil_40-600_socket";1;"65C02";;;
2;"Y4";"crystal_hc-49s";1;"5MHz 20pf";;;
3;"D2,D1";"diode_do41";2;"1N5817";;;
4;"Y1";"ECS-2100AX";1;"ECS-2100X-1MHZ";;;
5;"ACIA 1 U10,ACIA 2 U12";"dil_28-600_socket";2;"6551";;;
6;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
7;"J1";"Barrel_Jack_PJ002A";1;"BARREL_JACK";;;
8;"BT1";"BU2032SM";1;"CR2032 3V";;;
9;"C1";"C_Radial_D10_L16_P5";1;"1000uf";;;
10;"C2,C6,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C37,C39,C40,C41,C42";"C_Disc_D3_P2.5";21;".1uf";;;
11;"C3,C9";"C_Disc_D6_P5";2;".33uf";;;
12;"C4,C7";"C_Radial_D5_L11_P2";2;"47uf";;;
13;"C5";"C_Radial_D12.5_L25_P5";1;"1000uf";;;
14;"C25,C26";"C_Axial_D6_L11_P18";2;"2.2nf";;;
15;"C29";"C_Disc_D3_P2.5";1;".22uf";;;
16;"C31";"C_Disc_D3_P2.5";1;".47uf";;;
17;"C32,C34";"C_Disc_D3_P2.5";2;".47nf";;;
18;"C35,C36";"C_Radial_D5_L11_P2";2;"10uf";;;
19;"C38";"C_Radial_D12.5_L25_P5";1;"10uf";;;
20;"C43";"C_Disc_D6_P5";1;"1uf";;;
21;"CON1";"DM1AASFPEJ_SDCARD";1;"SD_Card_SPI";;;
22;"FB1,FB2,FB3";"Ferrite_Bead_Horizontal_RM10mm";3;"FB";;;
23;"J2";"SJ13525NHeadphone";1;"JACK_2P";;;
24;"J3";"RCJ013AUDIO";1;"AUDIO_OUT";;;
25;"J4";"RCJ014VIDEO";1;"TV_OUT";;;
26;"JP1";"Pin_Header_Straight_3x05";1;"DECODER_JUMPERS";;;
27;"JP4,JP5,JP6,JP7,JP8";"Pin_Header_Straight_1x03";5;"JUMPER3";;;
28;"K1";"MD60SM";1;"PS2_KEYBOARD";;;
29;"P3,P4";"Socket_Strip_Straight_1x20";2;"CONN_01X20";;;
30;"P5,P7";"Socket_Strip_Straight_1x05";2;"CONN_01X05";;;
31;"P6,P8,P9,P10";"Socket_Strip_Angled_2x09";4;"CONN_02X09";;;
32;"P11";"Socket_Strip_Straight_1x03";1;"CONN_01X03";;;
33;"P12";"Socket_Strip_Straight_1x02";1;"CONN_01X02";;;
34;"P13,P16";"Socket_Strip_Straight_1x12";2;"CONN_01X12";;;
35;"P14";"PROP_PLUG";1;"PROP_PLUG";;;
36;"Q1";"TO-92_Molded_Narrow";1;"2N2222A";;;
37;"R1";"Resistor_Horizontal_RM10mm";1;"330";;;
38;"R2";"Resistor_Horizontal_RM10mm";1;"422k";;;
39;"R3";"Resistor_Horizontal_RM10mm";1;"53.6k";;;
40;"R10,R12";"Resistor_Horizontal_RM10mm";2;"1k";;;
41;"R11,R16,R27,R29";"Resistor_Horizontal_RM10mm";4;"10k";;;
42;"R13";"Resistor_Horizontal_RM10mm";1;"1.1k";;;
43;"R14";"Resistor_Horizontal_RM10mm";1;"560";;;
44;"R15";"Resistor_Horizontal_RM10mm";1;"270";;;
45;"R17,R18,R21,R23,R25";"Resistor_Horizontal_RM10mm";5;"240";;;
46;"R19,R20";"Resistor_Horizontal_RM10mm";2;"100";;;
47;"R22,R24,R26";"Resistor_Horizontal_RM10mm";3;"470";;;
48;"R28,R30";"Resistor_Horizontal_RM10mm";2;"10K";;;
49;"U1";"to220-horiz_5772";1;"MIC29150-5.0WT";;;
50;"U2";"to220-5-horiz-notab";1;"MIC29152WT";;;
51;"U3";"to220-horiz-notab";1;"MIC29150-3.3WT";;;
52;"U5";"TO-92_Molded_Narrow";1;"DS1813_EconoReset";;;
53;"U8";"dil_28-600_socket";1;"62256_SRAM";;;
54;"U9,U11";"dil_40-600_socket";2;"6522";;;
55;"U13";"dil_28-600_socket";1;"6581_SID";;;
56;"U14";"dil_16-300_socket";1;"74LS138N";;;
57;"U15";"dil_24-600_socket";1;"BQ3285E_RTC";;;
58;"U16";"dil_14-300_socket";1;"7400";;;
59;"U17";"dil_40-600_socket";1;"Prop_P8X32A";;;
60;"U18";"dil_8-300_socket";1;"24LC256_EEPROM";;;
61;"Y3";"crystal_tc-38_horiz";1;"32.768kHz";;;
62;"U7";"28-526-11-SOCKET";1;"AT28C256_EEPROM";;;
63;"SW2,SW3";"1-1825027-1-TACTILE_SWITCH";2;"SW_PUSH_SAFE";;;
64;"PWR LED1";"WP1503CB_LED";1;"LED";;;
65;"JP9";"Pin_Header_Straight_2x06";1;"PROP_JUMPERS";;;
66;"P15";"Pin_Header_Angled_1x05";1;"CONN_01X05";;;
67;"C27,C28,C30,C33";"C_Disc_D6_P3.5_Skinny";4;"1nf";;;
68;"RR1";"7_pin_resistor_network";1;"RR7";;;
69;"C23,C24";"C_Disc_D3_P2.5";2;"6pf";;;
70;"SW1";"SW_Micro_Right_Angle_SPST";1;"SPST2";;;
71;"J5";"117343442VGA";1;"VGA";;;
72;"P1";"Socket_Strip_Straight_1x07";1;"CONN_01X07";;;
73;"G***";"retro1";1;"LOGO";;;
74;"G***";"copyright";1;"LOGO";;;
75;"U4";"Address_Decoder_CPLD2";1;"AddressDecoderModule";;;
76;"Y2";"ECS-2100AX";1;"1.8432MHZ_OSC";;;
